,Video Name,Arena,Trial Duration(Second),Last Modified Date,Animal id,Treatment,Side of partner,Timepoint,Sex,Cohort,Timeofday,Pair,Color,Novel,huddle time partner,huddle time novel,huddle time total,percent phuddle,chamber time partner,chamber time novel,chamber time center,latency partner huddle,latency novel huddle
64,CSIVideo_2022_7_13_16_37_9.mpg,3,9000,11/4/2022 12:57,4940,FM,right,ST,F,3,pm,4940x4916,O,4959,2052.29,1047.38,3099.67,0.662099514,3557.42,4250.82,2991.76,576.18,29.8
65,CSIVideo_2022_7_13_16_37_9.mpg,4,9000,11/4/2022 12:57,4947,FM,left,ST,F,3,pm,4947x923,O,4984,3515.28,121.19,3636.47,0.966673725,6978.48,753.35,3068.17,44.08,252.19
67,CSIVideo_2022_7_13_16_37_9.mpg,6,9000,11/4/2022 12:58,4914,FF,left,ST,F,3,pm,4914x4969,O,4965,0,1836.67,1836.67,0,686.62,4433.3,5680.08, ,13.38
66,CSIVideo_2022_7_13_16_37_9.mpg,5,9000,11/4/2022 12:58,4933,FF,right,ST,F,3,pm,4919x4933,B,4927,6009.98,238.3,6248.28,0.961861504,7857.49,733.83,2208.68,13.28,33.27
68,CSIVideo_2022_7_13_16_37_9.mpg,7,9000,11/4/2022 12:59,4908,MM,right,ST,M,3,pm,4908x4970,O,4961,1641.41,9.11,1650.52,0.994480527,5301.03,2949.55,2549.42,238.3,42.44
69,CSIVideo_2022_7_13_16_37_9.mpg,8,9000,11/4/2022 12:59,4932,MM,left,ST,M,3,pm,4917x4932,B,4987,68.3,6179.55,6247.85,0.010931761,667.63,7433.4,2698.97,1804.14,129.46
85,CSIVideo_2022_7_25_10_15_8.mpg,1,9000,11/8/2022 11:37,4918,FM,left,LT,F,3,am,4918x4967,O,4945,3838.97,112.21,3951.18,0.971600889,6671.5,1533.9,2594.6,63.6,24.36
86,CSIVideo_2022_7_25_10_15_8.mpg,2,9000,11/8/2022 11:37,4968,FM,right,LT,F,3,am,4968x4931,O,4946,6713.68,37.94,6751.62,0.994380608,7453.65,1146.05,2200.3,22.59,152.39
88,CSIVideo_2022_7_25_10_15_8.mpg,4,9000,11/8/2022 11:38,923,FM,right,LT,M,3,am,4947x923,B,4965,4875.34,29.2,4904.54,0.994046333,6634.63,1738.24,2427.13,3.5,45.85
87,CSIVideo_2022_7_25_10_15_8.mpg,3,9000,11/8/2022 11:38,4916,FM,left,LT,M,3,am,4940x4916,B,4926,3694.79,0,3694.79,1,6981.15,1322.26,2496.59,11.28, 
89,CSIVideo_2022_7_25_10_15_8.mpg,5,9000,11/8/2022 11:39,4919,FF,left,LT,F,3,am,4919x4933,O,4980,3052.99,4.87,3057.86,0.998407383,5964.2,891.73,3944.07,16.72,216.35
90,CSIVideo_2022_7_25_10_15_8.mpg,6,9000,11/8/2022 11:39,4969,FF,right,LT,F,3,am,4914x4969,B,4979,301.4,32.77,334.17,0.90193614,902.74,3623.86,6273.4,2754.22,4873.37
92,CSIVideo_2022_7_25_10_15_8.mpg,8,9000,11/8/2022 11:40,4917,MM,right,LT,M,3,am,4917x4932,O,4983,4515.88,73.94,4589.82,0.983890436,7203.37,824.72,2771.91,1214.71,26.56
91,CSIVideo_2022_7_25_10_15_8.mpg,7,9000,11/8/2022 11:40,4970,MM,left,LT,M,3,am,4908x4970,B,4987,4668.07,17.75,4685.82,0.996211976,6918.12,567.13,3314.75,660.19,56.62
110,coh3_lt_ppt_merge.mpg,2,9000,11/8/2022 14:53,4931,FM,left,LT,M,3,pm,4968x4931,B,4964,5089.36,278.04,5367.4,0.948198383,6441.31,2028.73,2329.96,186.79,398.77
109,coh3_lt_ppt_merge.mpg,1,9000,11/8/2022 14:53,4967,FM,right,LT,M,3,pm,4918x4967,B,4978,4198.47,14.65,4213.12,0.996522767,5112.81,3315.05,2372.14,28.46,102.94
111,coh3_lt_ppt_merge.mpg,3,9000,11/8/2022 14:54,4940,FM,right,LT,F,3,pm,4940x4916,O,4957,4742.71,185.39,4928.1,0.962381039,7136.6,1211.11,2452.29,195.03,4.5
113,coh3_lt_ppt_merge.mpg,5,9000,11/8/2022 14:55,4933,FF,right,LT,F,3,pm,4919x4933,B,4977,6730.16,0.97,6731.13,0.999855893,8318.15,160.23,2321.62,50.62,709.61
112,coh3_lt_ppt_merge.mpg,4,9000,11/8/2022 14:55,4947,FM,left,LT,F,3,pm,4947x923,O,4959,6515.28,40.64,6555.92,0.993801023,8222.19,526.29,2051.52,58.53,13.05
114,coh3_lt_ppt_merge.mpg,6,9000,11/8/2022 14:56,4908,MM,right,LT,M,3,pm,4908x4970,O,4948,4185.52,1063.76,5249.28,0.797351256,5233.03,3135.3,2431.67,111.41,98.63
115,coh3_lt_ppt_merge.mpg,7,9000,11/8/2022 14:56,4932,MM,left,LT,M,3,pm,4917x4932,B,4984,4283.58,1178.11,5461.69,0.784295703,5381.55,2435.1,2983.35,356.92,138.24
71,CSIVideo_2022_7_20_10_43_49.mpg,2,9000,11/10/2022 15:20,4905,FM,right,ST,F,4,am,4905x4975,O,4983,3978.58,10.61,3989.19,0.997340312,6716.28,1711.54,2372.18,148.35,14.18
70,CSIVideo_2022_7_20_10_43_49.mpg,1,9000,11/10/2022 15:20,5021,FM,left,ST,F,4,am,5021x5204,O,4945,2419.49,3217.42,5636.91,0.429222748,4162.63,4362.56,2274.81,142.18,19.19
72,CSIVideo_2022_7_20_10_43_49.mpg,3,9000,11/10/2022 15:21,5121,FM,left,ST,M,4,am,5225x5121,B,4927,2116.12,1328.03,3444.15,0.614409941,5591.73,2872.84,2335.43,378.08,47.05
73,CSIVideo_2022_7_20_10_43_49.mpg,4,9000,11/10/2022 15:22,5122,FM,right,ST,M,4,am,5227x5122,B,4979,4811.75,342.84,5154.59,0.933488405,5672.07,2493.26,2634.67,13.78,6.11
74,CSIVideo_2022_7_20_10_43_49.mpg,5,9000,11/10/2022 15:23,4907,FF,left,ST,F,4,am,4907x5228,O,4980,2608.68,119.55,2728.23,0.956180381,5918.12,1827.09,3054.79,16.45,44.34
75,CSIVideo_2022_7_20_10_43_49.mpg,6,9000,11/10/2022 15:23,4963,FF,right,ST,F,4,am,5023x4963,B,4926,278.11,8.11,286.22,0.971665153,4513.08,1767.23,4519.69,277.98,36.04
76,CSIVideo_2022_7_20_10_43_49.mpg,7,9000,11/10/2022 15:25,4974,MM,left,ST,M,4,am,5209x4974,B,4987,4561.7,19.09,4580.79,0.995832597,7085.89,1408.88,2305.23,472.37,45.91
77,CSIVideo_2022_7_20_10_43_49.mpg,8,9000,11/10/2022 15:25,4976,MM,right,ST,M,4,am,4976x5124,O,4946,5266.73,10.54,5277.27,0.998002755,7123.29,1474.91,2201.8,57.52,27.86
78,CSIVideo_2022_7_20_15_53_12.mpg,1,9000,11/11/2022 11:08,5204,FM,right,ST,M,4,pm,5021x5204,B,4977,338.57,565.57,904.14,0.374466344,1661.8,6842.81,2295.39,473.67,55.26
79,CSIVideo_2022_7_20_15_53_12.mpg,2,9000,11/11/2022 11:09,4975,FM,left,ST,M,4,pm,4905x4975,B,4965,6817.05,64.3,6881.35,0.990655903,8252.75,499.63,2047.62,195.16,13.78
80,CSIVideo_2022_7_20_15_53_12.mpg,3,9000,11/11/2022 11:09,5225,FM,right,ST,F,4,pm,5225x5121,O,4957,6243.11,71.77,6314.88,0.98863478,7837.64,579.91,2382.45,60.66,87.62
,CSIVideo_2022_7_20_15_53_12.mpg,4,9000,Amaneet,5227,FM,left,ST,F,4,pm,5227x5122,O,,7796.67,175.3,7971.97,0.978010454,8870.02,1249.99,679.67,34.54,1820.49
82,CSIVideo_2022_7_20_15_53_12.mpg,6,9000,11/11/2022 11:10,5023,FF,left,ST,F,4,pm,5023x4963,O,4964,4485.92,355.56,4841.48,0.926559647,5969.4,2348.38,2482.22,24.29,202.9
81,CSIVideo_2022_7_20_15_53_12.mpg,5,9000,11/11/2022 11:10,5228,FF,right,ST,F,4,pm,4907x5228,B,4978,5096.3,15.45,5111.75,0.996977552,7923.02,638.1,2238.88,326.86,37.87
84,CSIVideo_2022_7_20_15_53_12.mpg,8,9000,11/11/2022 11:11,5124,MM,left,ST,M,4,pm,4976x5124,B,4959,4666.67,68.13,4734.8,0.985610797,5867.63,2750.58,2181.79,64.66,28.33
83,CSIVideo_2022_7_20_15_53_12.mpg,7,9000,11/11/2022 11:11,5209,MM,right,ST,M,4,pm,5209x4974,O,4948,5458.73,13.21,5471.94,0.997585865,7810.18,461.03,2528.79,260.46,168.8
94,CSIVideo_2022_8_1_10_32_24.mpg,2,9000,11/11/2022 14:31,4905,FM,right,LT,F,4,am,4905x4975,O,4959,3943.81,205.21,4149.02,0.950540128,6104.3,1955.22,2740.48,47.08,58.46
93,CSIVideo_2022_8_1_10_32_24.mpg,1,9000,11/11/2022 14:31,5021,FM,left,LT,F,4,am,5021x5204,O,4984,5081.51,353.39,5434.9,0.934977644,6738.14,1088.29,2973.57,11.91,434.87
97,CSIVideo_2022_8_1_10_32_24.mpg,5,9000,11/11/2022 14:32,4907,FF,left,LT,F,4,am,4907x5228,O,4979,2508.41,47.71,2556.12,0.981334992,4940.91,2020.42,3838.67,23.76,1081.82
95,CSIVideo_2022_8_1_10_32_24.mpg,3,9000,11/11/2022 14:32,5121,FM,left,LT,M,4,am,5225x5121,B,4926,5053.05,7.57,5060.62,0.998504136,6518.18,1900.1,2381.72,4.04,67.57
96,CSIVideo_2022_8_1_10_32_24.mpg,4,9000,11/11/2022 14:32,5122,FM,right,LT,M,4,am,5227x5122,B,4977,4710.58,358.56,5069.14,0.929266108,6039.74,1800.13,2960.13,34.83,15.15
98,CSIVideo_2022_8_1_10_32_24.mpg,6,9000,11/11/2022 14:33,4963,FF,right,LT,F,4,am,5023x4963,B,4978,3153.22,130.63,3283.85,0.960220473,5339.67,2255.89,3204.44,33.03,502.67
99,CSIVideo_2022_8_1_10_32_24.mpg,7,9000,11/11/2022 14:33,4974,MM,left,LT,M,4,am,5209x4974,B,4983,3827.63,20.15,3847.78,0.994763214,5233.23,2673.61,2893.16,75.51,7.91
100,CSIVideo_2022_8_1_10_32_24.mpg,8,9000,11/11/2022 14:34,4976,MM,right,LT,M,4,am,4976x5124,O,4987,5521.82,0,5521.82,1,7430.1,1016.52,2353.38,99.07, 
101,CSIVideo_2022_8_1_15_13_5.mpg,1,9000,11/15/2022 15:52,5204,FM,right,LT,M,4,pm,5021x5204,B,4980,1520.89,2030.4,3551.29,0.428264096,3023.09,5055.02,2721.89,569.57,159.66
102,CSIVideo_2022_8_1_15_13_5.mpg,2,9000,11/15/2022 15:53,4975,FM,left,LT,M,4,pm,4905x4975,B,4964,5851.85,11.81,5863.66,0.9979859,8085.65,524.99,2189.36,13.38,3266.9
103,CSIVideo_2022_8_1_15_13_5.mpg,3,9000,11/15/2022 15:53,5225,FM,right,LT,F,4,pm,5225x5121,O,4945,7253.45,0,7253.45,1,8294.69,257.16,2248.15,35.3, 
104,CSIVideo_2022_8_1_15_13_5.mpg,4,9000,11/15/2022 15:53,5227,FM,left,LT,F,4,pm,5227x5122,O,4957,5905.91,13.41,5919.32,0.997734537,7880.78,564.06,2355.16,16.05,902.7
105,CSIVideo_2022_8_1_15_13_5.mpg,5,9000,11/15/2022 15:54,5228,FF,right,LT,F,4,pm,4907x5228,B,4927,4631.93,385.82,5017.75,0.923108963,6122.96,2138.07,2538.97,12.51,1246.01
106,CSIVideo_2022_8_1_15_13_5.mpg,6,9000,11/15/2022 15:55,5023,FF,left,LT,F,4,pm,5023x4963,O,4965,4049.88,35.8,4085.68,0.991237689,6173.31,2227.29,2399.4,24.02,47.31
108,CSIVideo_2022_8_1_15_13_5.mpg,8,9000,11/15/2022 15:55,5124,MM,left,LT,M,4,pm,4976x5124,B,4948,4175.68,122.76,4298.44,0.971440802,5292.43,3307.61,2199.96,5.41,38.34
107,CSIVideo_2022_8_1_15_13_5.mpg,7,9000,11/15/2022 15:55,5209,MM,right,LT,M,4,pm,5209x4974,O,4946,6676.41,2.3,6678.71,0.999655622,8220.02,147.45,2432.53,8.11,39.97
